,job,marital,education,default,housing,loan,contact,poutcome,age_bin,result_from_ward
9601,technician,single,university.degree,no,yes,yes,cellular,nonexistent,20-30,0
9602,admin.,divorced,high.school,no,no,no,telephone,nonexistent,20-30,1
9603,services,married,high.school,unknown,no,no,cellular,nonexistent,40-50,0
9604,admin.,married,high.school,no,yes,yes,telephone,nonexistent,30-40,1
9605,management,married,university.degree,no,yes,no,cellular,nonexistent,50-60,2
9606,admin.,married,high.school,no,yes,no,cellular,nonexistent,30-40,1
9607,housemaid,single,basic.4y,unknown,no,no,cellular,nonexistent,30-40,1
9608,admin.,married,university.degree,no,no,yes,telephone,nonexistent,30-40,2
9609,unemployed,single,basic.9y,no,yes,no,cellular,nonexistent,20-30,0
9610,student,single,high.school,no,yes,no,cellular,nonexistent,20-30,0
9611,unemployed,married,high.school,unknown,yes,no,cellular,nonexistent,40-50,0
9612,technician,married,professional.course,no,yes,no,cellular,nonexistent,50-60,0
9613,technician,married,professional.course,no,yes,yes,cellular,nonexistent,30-40,0
9614,self-employed,single,university.degree,no,yes,no,cellular,nonexistent,30-40,0
9615,technician,married,university.degree,no,yes,no,telephone,nonexistent,40-50,0
9616,admin.,single,unknown,unknown,no,yes,cellular,nonexistent,50-60,2
9617,admin.,single,university.degree,no,yes,no,cellular,nonexistent,30-40,2
9618,management,married,university.degree,no,no,no,cellular,nonexistent,50-60,2
9619,management,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
9620,admin.,single,high.school,no,no,no,telephone,nonexistent,40-50,1
9621,technician,married,professional.course,no,yes,no,telephone,nonexistent,30-40,0
9622,services,divorced,basic.6y,unknown,no,no,cellular,nonexistent,30-40,0
9623,services,divorced,unknown,no,yes,no,cellular,failure,40-50,0
9624,services,married,high.school,no,no,no,telephone,nonexistent,40-50,0
9625,admin.,single,university.degree,no,yes,no,cellular,nonexistent,20-30,2
9626,retired,married,basic.9y,unknown,no,no,telephone,nonexistent,40-50,0
9627,retired,divorced,university.degree,no,no,no,cellular,nonexistent,40-50,2
9628,management,divorced,university.degree,no,no,no,cellular,success,40-50,2
9629,entrepreneur,married,high.school,unknown,no,no,telephone,nonexistent,40-50,1
9630,blue-collar,married,basic.4y,unknown,no,no,telephone,nonexistent,30-40,1
9631,technician,married,high.school,no,yes,no,cellular,nonexistent,40-50,0
9632,admin.,married,university.degree,no,yes,no,cellular,nonexistent,40-50,2
9633,technician,single,university.degree,no,yes,yes,cellular,nonexistent,20-30,0
9634,services,married,basic.6y,unknown,yes,no,cellular,failure,30-40,0
9635,blue-collar,single,basic.9y,no,yes,no,cellular,nonexistent,20-30,1
9636,services,married,basic.6y,no,yes,no,cellular,nonexistent,50-60,1
9637,blue-collar,married,basic.6y,no,yes,no,cellular,nonexistent,30-40,1
9638,admin.,divorced,university.degree,no,yes,no,telephone,nonexistent,40-50,2
9639,admin.,single,high.school,no,no,no,cellular,nonexistent,20-30,1
9640,management,married,high.school,no,no,no,cellular,nonexistent,40-50,1
9641,management,single,university.degree,no,yes,no,cellular,nonexistent,20-30,2
9642,management,divorced,university.degree,no,yes,no,telephone,nonexistent,40-50,2
9643,blue-collar,single,basic.4y,no,no,no,telephone,nonexistent,40-50,1
9644,admin.,married,university.degree,unknown,yes,no,telephone,nonexistent,30-40,2
9645,services,divorced,basic.9y,no,yes,no,cellular,nonexistent,30-40,0
9646,blue-collar,married,basic.9y,unknown,yes,no,cellular,failure,50-60,1
9647,technician,married,basic.6y,unknown,yes,yes,telephone,nonexistent,50-60,0
9648,admin.,married,university.degree,no,no,no,telephone,nonexistent,30-40,2
9649,technician,divorced,professional.course,unknown,yes,no,telephone,nonexistent,40-50,0
9650,technician,divorced,professional.course,no,yes,no,cellular,nonexistent,30-40,0
9651,technician,single,professional.course,unknown,no,no,telephone,nonexistent,30-40,0
9652,admin.,married,university.degree,no,no,no,cellular,nonexistent,50-60,2
9653,blue-collar,married,university.degree,no,yes,yes,cellular,nonexistent,40-50,2
9654,admin.,married,basic.6y,no,yes,yes,cellular,nonexistent,30-40,1
9655,management,married,university.degree,no,no,no,cellular,nonexistent,30-40,2
9656,retired,married,basic.6y,unknown,no,yes,telephone,nonexistent,50-60,1
9657,services,married,high.school,no,no,no,telephone,nonexistent,20-30,0
9658,technician,married,professional.course,no,no,no,telephone,nonexistent,30-40,0
9659,management,married,high.school,no,yes,no,cellular,nonexistent,40-50,1
9660,admin.,married,university.degree,no,yes,no,cellular,success,40-50,2
9661,services,married,unknown,no,no,no,telephone,nonexistent,50-60,0
9662,blue-collar,single,basic.9y,no,yes,no,telephone,nonexistent,30-40,1
9663,services,single,high.school,unknown,yes,no,cellular,nonexistent,20-30,0
9664,admin.,single,high.school,no,no,no,telephone,nonexistent,40-50,1
9665,self-employed,married,professional.course,no,yes,no,cellular,nonexistent,20-30,0
9666,entrepreneur,married,basic.4y,no,no,no,telephone,nonexistent,30-40,1
9667,technician,single,university.degree,unknown,yes,no,cellular,nonexistent,50-60,0
9668,blue-collar,married,basic.6y,no,yes,no,cellular,nonexistent,30-40,1
9669,admin.,single,university.degree,no,no,no,telephone,nonexistent,40-50,2
9670,entrepreneur,married,professional.course,no,no,no,cellular,nonexistent,50-60,2
9671,blue-collar,married,basic.6y,no,no,yes,telephone,failure,30-40,1
9672,blue-collar,divorced,basic.9y,unknown,no,no,telephone,nonexistent,30-40,1
9673,housemaid,married,professional.course,no,yes,no,cellular,nonexistent,40-50,2
9674,technician,single,university.degree,no,no,no,cellular,nonexistent,30-40,0
9675,admin.,married,high.school,unknown,no,no,cellular,nonexistent,40-50,1
9676,technician,single,university.degree,no,no,no,telephone,nonexistent,30-40,0
9677,admin.,married,university.degree,no,yes,no,cellular,nonexistent,20-30,2
9678,admin.,divorced,high.school,unknown,no,no,cellular,nonexistent,40-50,1
9679,unemployed,married,university.degree,unknown,unknown,unknown,cellular,failure,30-40,0
9680,blue-collar,married,basic.6y,unknown,no,yes,cellular,nonexistent,40-50,1
9681,management,divorced,university.degree,no,yes,no,telephone,nonexistent,40-50,2
9682,blue-collar,divorced,high.school,no,no,no,cellular,failure,20-30,1
9683,blue-collar,married,basic.4y,unknown,yes,yes,telephone,nonexistent,40-50,1
9684,housemaid,married,basic.4y,no,no,yes,cellular,failure,60-70,1
9685,housemaid,divorced,basic.4y,no,no,no,cellular,nonexistent,50-60,1
9686,technician,single,high.school,no,yes,no,telephone,nonexistent,20-30,0
9687,retired,divorced,professional.course,no,yes,no,telephone,nonexistent,60-70,2
9688,services,married,high.school,unknown,yes,no,cellular,nonexistent,30-40,0
9689,blue-collar,divorced,unknown,no,yes,no,telephone,nonexistent,20-30,2
9690,student,single,high.school,no,no,yes,cellular,success,20-30,0
9691,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,40-50,1
9692,blue-collar,single,basic.9y,unknown,unknown,unknown,telephone,nonexistent,20-30,1
9693,technician,single,university.degree,no,no,no,cellular,nonexistent,20-30,0
9694,technician,single,professional.course,no,unknown,unknown,telephone,failure,20-30,0
9695,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,30-40,1
9696,blue-collar,married,basic.9y,unknown,yes,no,telephone,nonexistent,50-60,1
9697,services,married,high.school,no,yes,yes,cellular,nonexistent,20-30,0
9698,entrepreneur,married,university.degree,no,yes,no,telephone,nonexistent,40-50,2
9699,technician,married,professional.course,no,yes,no,cellular,nonexistent,30-40,0
9700,management,married,university.degree,no,yes,no,cellular,nonexistent,50-60,2
9701,blue-collar,married,basic.6y,no,yes,no,telephone,nonexistent,40-50,1
9702,technician,divorced,professional.course,no,no,no,telephone,nonexistent,30-40,0
9703,management,single,university.degree,no,yes,yes,cellular,nonexistent,30-40,2
9704,admin.,married,university.degree,no,yes,no,telephone,nonexistent,20-30,2
9705,housemaid,married,basic.4y,unknown,no,yes,cellular,nonexistent,40-50,1
9706,admin.,married,university.degree,unknown,no,no,telephone,nonexistent,30-40,2
9707,admin.,married,unknown,no,yes,no,cellular,nonexistent,50-60,2
9708,blue-collar,single,high.school,unknown,unknown,unknown,telephone,nonexistent,20-30,1
9709,technician,divorced,professional.course,no,no,no,cellular,nonexistent,40-50,0
9710,blue-collar,married,basic.6y,unknown,no,no,telephone,nonexistent,40-50,1
9711,admin.,married,university.degree,no,yes,no,cellular,nonexistent,20-30,2
9712,self-employed,single,university.degree,no,no,no,telephone,nonexistent,20-30,0
9713,admin.,single,university.degree,no,no,no,cellular,failure,20-30,2
9714,services,married,high.school,no,no,no,telephone,nonexistent,30-40,0
9715,admin.,single,university.degree,unknown,yes,no,cellular,nonexistent,20-30,2
9716,admin.,married,university.degree,no,no,no,cellular,nonexistent,30-40,2
9717,technician,single,university.degree,no,yes,no,cellular,nonexistent,20-30,0
9718,self-employed,single,university.degree,no,no,no,cellular,nonexistent,30-40,0
9719,technician,married,professional.course,no,yes,yes,telephone,nonexistent,30-40,0
9720,admin.,married,university.degree,no,no,no,cellular,nonexistent,30-40,2
9721,admin.,divorced,university.degree,no,yes,no,cellular,nonexistent,50-60,2
9722,entrepreneur,single,basic.9y,no,no,yes,cellular,failure,50-60,1
9723,technician,single,professional.course,no,yes,no,cellular,nonexistent,20-30,0
9724,blue-collar,single,basic.9y,unknown,no,yes,telephone,nonexistent,30-40,1
9725,services,single,high.school,no,yes,no,cellular,nonexistent,20-30,0
9726,technician,married,unknown,no,yes,no,cellular,failure,40-50,0
9727,technician,single,basic.9y,no,no,no,cellular,nonexistent,30-40,0
9728,entrepreneur,married,university.degree,no,yes,yes,telephone,nonexistent,30-40,2
9729,unemployed,divorced,university.degree,unknown,no,no,cellular,nonexistent,30-40,0
9730,technician,single,university.degree,no,yes,no,cellular,nonexistent,30-40,0
9731,admin.,married,basic.6y,unknown,no,no,cellular,nonexistent,40-50,1
9732,services,single,high.school,no,no,no,cellular,nonexistent,40-50,0
9733,technician,married,professional.course,no,no,no,telephone,nonexistent,50-60,0
9734,management,married,university.degree,no,no,no,cellular,nonexistent,40-50,2
9735,entrepreneur,married,university.degree,no,yes,no,cellular,nonexistent,40-50,2
9736,blue-collar,divorced,high.school,no,no,no,cellular,failure,20-30,1
9737,services,single,professional.course,no,yes,no,cellular,nonexistent,20-30,0
9738,admin.,married,university.degree,no,yes,no,cellular,success,40-50,2
9739,blue-collar,married,basic.4y,unknown,yes,no,cellular,nonexistent,50-60,1
9740,retired,single,professional.course,no,yes,no,telephone,nonexistent,50-60,2
9741,admin.,married,high.school,no,unknown,unknown,telephone,nonexistent,30-40,1
9742,housemaid,divorced,high.school,no,no,yes,telephone,nonexistent,50-60,1
9743,technician,married,professional.course,no,yes,no,cellular,nonexistent,50-60,0
9744,admin.,single,university.degree,no,unknown,unknown,telephone,nonexistent,20-30,2
9745,blue-collar,married,basic.9y,no,yes,yes,cellular,nonexistent,30-40,1
9746,technician,married,basic.9y,no,yes,no,cellular,nonexistent,20-30,0
9747,management,married,university.degree,no,no,no,cellular,nonexistent,30-40,2
9748,services,divorced,professional.course,unknown,no,no,telephone,nonexistent,30-40,0
9749,admin.,single,high.school,no,no,no,telephone,nonexistent,50-60,1
9750,blue-collar,married,basic.4y,no,no,no,cellular,nonexistent,30-40,1
9751,admin.,married,university.degree,no,no,no,cellular,nonexistent,20-30,2
9752,management,married,university.degree,no,no,yes,telephone,nonexistent,40-50,2
9753,management,divorced,basic.9y,unknown,no,no,telephone,nonexistent,40-50,1
9754,management,married,university.degree,no,no,no,cellular,nonexistent,30-40,2
9755,admin.,married,university.degree,no,no,no,cellular,nonexistent,40-50,2
9756,technician,single,university.degree,no,yes,yes,cellular,nonexistent,30-40,0
9757,blue-collar,divorced,basic.9y,no,unknown,unknown,telephone,nonexistent,30-40,1
9758,entrepreneur,married,high.school,no,no,no,cellular,failure,30-40,1
9759,entrepreneur,married,university.degree,no,yes,yes,cellular,nonexistent,50-60,2
9760,entrepreneur,married,university.degree,no,yes,no,cellular,failure,40-50,2
9761,services,married,high.school,no,yes,no,cellular,nonexistent,30-40,0
9762,admin.,single,high.school,no,unknown,unknown,telephone,nonexistent,30-40,1
9763,blue-collar,married,basic.6y,unknown,yes,no,telephone,nonexistent,40-50,1
9764,blue-collar,married,basic.6y,unknown,no,no,cellular,nonexistent,40-50,1
9765,technician,divorced,professional.course,no,no,no,telephone,nonexistent,40-50,0
9766,self-employed,married,university.degree,no,yes,no,cellular,nonexistent,30-40,0
9767,admin.,married,high.school,no,yes,no,cellular,success,30-40,1
9768,admin.,married,basic.9y,no,yes,no,telephone,nonexistent,40-50,1
9769,blue-collar,single,basic.6y,unknown,yes,no,telephone,nonexistent,30-40,1
9770,services,married,basic.9y,no,yes,no,telephone,nonexistent,40-50,0
9771,technician,divorced,professional.course,no,yes,no,telephone,nonexistent,30-40,0
9772,services,single,unknown,unknown,yes,no,telephone,nonexistent,40-50,0
9773,admin.,single,university.degree,no,yes,no,cellular,nonexistent,30-40,2
9774,housemaid,married,basic.4y,no,yes,no,telephone,nonexistent,30-40,1
9775,technician,married,university.degree,no,yes,no,cellular,nonexistent,30-40,0
9776,blue-collar,married,basic.6y,no,yes,yes,cellular,nonexistent,30-40,1
9777,technician,single,professional.course,no,yes,no,cellular,nonexistent,40-50,0
9778,blue-collar,single,basic.4y,no,no,no,cellular,nonexistent,30-40,1
9779,self-employed,single,university.degree,no,no,no,cellular,nonexistent,20-30,0
9780,admin.,single,university.degree,no,unknown,unknown,cellular,nonexistent,30-40,2
9781,self-employed,married,university.degree,no,no,no,cellular,nonexistent,20-30,0
9782,management,married,unknown,no,yes,no,telephone,nonexistent,40-50,2
9783,blue-collar,married,basic.4y,no,yes,no,cellular,nonexistent,40-50,1
9784,technician,single,professional.course,no,yes,no,telephone,nonexistent,40-50,0
9785,admin.,single,unknown,no,no,no,cellular,nonexistent,30-40,2
9786,blue-collar,married,unknown,unknown,yes,no,cellular,nonexistent,40-50,2
9787,blue-collar,married,basic.4y,unknown,no,no,telephone,nonexistent,30-40,1
9788,blue-collar,married,basic.9y,no,yes,no,cellular,success,30-40,1
9789,blue-collar,married,basic.4y,no,no,no,cellular,nonexistent,30-40,1
9790,management,single,university.degree,no,no,yes,cellular,nonexistent,20-30,2
9791,technician,single,unknown,no,no,no,telephone,nonexistent,40-50,0
9792,technician,divorced,professional.course,no,yes,yes,cellular,nonexistent,30-40,0
9793,management,married,high.school,no,no,no,cellular,failure,30-40,1
9794,admin.,married,university.degree,no,yes,yes,telephone,nonexistent,40-50,2
9795,unknown,single,high.school,no,no,no,cellular,success,30-40,0
9796,services,divorced,university.degree,no,no,no,cellular,nonexistent,50-60,0
9797,services,married,high.school,no,no,no,cellular,failure,20-30,0
9798,services,married,high.school,no,yes,no,cellular,nonexistent,50-60,1
9799,blue-collar,married,basic.9y,unknown,no,no,telephone,nonexistent,50-60,1
9800,admin.,single,high.school,no,no,no,telephone,nonexistent,20-30,1
9801,blue-collar,married,basic.9y,no,yes,no,cellular,success,40-50,1
9802,technician,married,basic.9y,no,yes,no,cellular,nonexistent,40-50,0
9803,management,married,university.degree,no,yes,no,cellular,nonexistent,30-40,2
9804,blue-collar,married,basic.6y,no,yes,no,telephone,nonexistent,30-40,1
9805,technician,married,high.school,no,unknown,unknown,cellular,nonexistent,40-50,0
9806,retired,married,professional.course,no,yes,no,cellular,nonexistent,50-60,2
9807,services,divorced,basic.4y,no,no,yes,cellular,failure,40-50,1
9808,management,married,basic.4y,unknown,no,no,telephone,nonexistent,40-50,1
9809,technician,married,professional.course,unknown,no,no,telephone,nonexistent,30-40,0
9810,blue-collar,single,basic.9y,no,no,no,telephone,success,20-30,1
9811,technician,married,professional.course,no,no,no,telephone,nonexistent,30-40,0
9812,technician,single,high.school,no,yes,no,cellular,failure,30-40,0
9813,blue-collar,married,basic.4y,no,yes,no,telephone,nonexistent,40-50,1
9814,admin.,single,high.school,no,yes,no,telephone,nonexistent,30-40,1
9815,services,single,high.school,no,no,no,telephone,nonexistent,40-50,0
9816,entrepreneur,married,university.degree,no,no,no,telephone,failure,30-40,2
9817,technician,single,university.degree,no,no,no,cellular,nonexistent,30-40,0
9818,admin.,single,university.degree,no,no,no,telephone,nonexistent,30-40,2
9819,services,married,university.degree,no,yes,yes,telephone,nonexistent,50-60,0
9820,admin.,married,university.degree,no,yes,no,telephone,nonexistent,40-50,2
9821,self-employed,divorced,unknown,unknown,yes,no,cellular,failure,40-50,0
9822,technician,single,professional.course,no,no,no,telephone,nonexistent,20-30,0
9823,admin.,married,university.degree,no,no,no,cellular,failure,30-40,2
9824,entrepreneur,married,basic.4y,no,no,no,cellular,nonexistent,40-50,1
9825,retired,married,university.degree,no,unknown,unknown,cellular,nonexistent,50-60,2
9826,self-employed,married,university.degree,unknown,yes,yes,cellular,nonexistent,40-50,0
9827,services,single,university.degree,no,yes,no,cellular,nonexistent,20-30,0
9828,technician,married,professional.course,no,no,no,cellular,nonexistent,40-50,0
9829,admin.,married,university.degree,no,no,no,cellular,failure,30-40,2
9830,admin.,married,high.school,no,yes,yes,telephone,nonexistent,20-30,1
9831,blue-collar,single,basic.9y,no,yes,no,cellular,nonexistent,20-30,1
9832,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,30-40,1
9833,admin.,divorced,high.school,no,yes,no,cellular,nonexistent,30-40,1
9834,retired,divorced,basic.4y,no,yes,no,cellular,nonexistent,70-80,1
9835,unknown,single,high.school,unknown,yes,no,cellular,nonexistent,20-30,0
9836,management,single,university.degree,no,yes,no,telephone,nonexistent,30-40,2
9837,management,single,university.degree,no,no,yes,telephone,nonexistent,40-50,2
9838,services,married,high.school,no,yes,no,cellular,nonexistent,30-40,0
9839,blue-collar,married,basic.4y,no,no,no,telephone,nonexistent,40-50,1
9840,management,married,university.degree,no,no,no,telephone,nonexistent,30-40,2
9841,management,married,university.degree,unknown,no,yes,cellular,nonexistent,40-50,2
9842,admin.,single,basic.4y,unknown,yes,no,telephone,nonexistent,30-40,1
9843,admin.,single,university.degree,no,yes,no,cellular,nonexistent,20-30,2
9844,blue-collar,divorced,high.school,no,no,no,cellular,nonexistent,20-30,1
9845,admin.,married,university.degree,unknown,yes,no,telephone,nonexistent,30-40,2
9846,admin.,single,university.degree,unknown,yes,no,cellular,nonexistent,30-40,2
9847,admin.,divorced,basic.9y,no,yes,no,cellular,nonexistent,40-50,1
9848,blue-collar,married,basic.9y,no,yes,no,telephone,nonexistent,20-30,1
9849,admin.,married,university.degree,no,yes,no,cellular,nonexistent,30-40,2
9850,management,single,basic.9y,no,yes,yes,cellular,nonexistent,20-30,1
9851,technician,single,university.degree,no,yes,no,telephone,nonexistent,20-30,0
9852,retired,married,unknown,no,unknown,unknown,cellular,nonexistent,50-60,2
9853,retired,married,high.school,no,no,no,cellular,success,60-70,1
9854,management,single,university.degree,no,yes,no,telephone,nonexistent,30-40,2
9855,admin.,married,high.school,no,no,no,cellular,nonexistent,30-40,1
9856,blue-collar,divorced,basic.4y,no,no,no,cellular,nonexistent,40-50,1
9857,admin.,single,basic.9y,no,no,no,cellular,nonexistent,20-30,1
9858,management,single,university.degree,no,yes,no,telephone,nonexistent,30-40,2
9859,retired,divorced,basic.4y,no,yes,no,cellular,success,70-80,1
9860,technician,married,university.degree,no,yes,no,telephone,nonexistent,20-30,0
9861,entrepreneur,single,basic.9y,no,no,no,cellular,nonexistent,30-40,1
9862,blue-collar,married,basic.9y,no,no,no,cellular,nonexistent,30-40,1
9863,management,married,university.degree,no,no,no,cellular,nonexistent,30-40,2
9864,services,married,high.school,no,yes,no,cellular,nonexistent,50-60,1
9865,admin.,married,basic.9y,no,no,no,telephone,nonexistent,40-50,1
9866,management,married,basic.4y,no,yes,no,cellular,nonexistent,50-60,1
9867,admin.,single,high.school,no,yes,yes,cellular,nonexistent,30-40,1
9868,admin.,divorced,professional.course,no,yes,yes,cellular,nonexistent,30-40,2
9869,services,married,unknown,no,yes,no,telephone,nonexistent,50-60,0
9870,blue-collar,married,basic.4y,no,yes,no,cellular,nonexistent,50-60,1
9871,admin.,married,professional.course,no,no,no,telephone,nonexistent,30-40,2
9872,housemaid,married,university.degree,no,yes,no,telephone,nonexistent,30-40,2
9873,unemployed,married,basic.9y,no,yes,yes,telephone,nonexistent,30-40,0
9874,technician,married,professional.course,no,unknown,unknown,telephone,success,30-40,0
9875,management,single,basic.9y,no,yes,no,cellular,nonexistent,30-40,1
9876,blue-collar,married,basic.4y,no,no,yes,telephone,nonexistent,40-50,1
9877,admin.,married,university.degree,no,yes,no,telephone,nonexistent,40-50,2
9878,technician,married,professional.course,no,yes,no,cellular,nonexistent,30-40,0
9879,blue-collar,single,high.school,no,yes,no,telephone,nonexistent,30-40,1
9880,admin.,married,university.degree,no,yes,no,cellular,nonexistent,20-30,2
9881,blue-collar,married,basic.9y,unknown,no,no,telephone,nonexistent,20-30,1
9882,blue-collar,married,basic.4y,no,yes,yes,cellular,nonexistent,40-50,1
9883,admin.,married,university.degree,no,yes,no,cellular,nonexistent,30-40,2
9884,unemployed,married,professional.course,no,yes,no,telephone,nonexistent,40-50,0
9885,entrepreneur,married,basic.4y,unknown,yes,no,telephone,nonexistent,50-60,1
9886,services,divorced,basic.9y,no,yes,yes,telephone,nonexistent,30-40,0
9887,management,married,high.school,no,no,no,cellular,failure,30-40,1
9888,services,single,high.school,no,no,no,cellular,nonexistent,30-40,0
9889,technician,divorced,unknown,no,no,no,telephone,nonexistent,40-50,0
9890,blue-collar,married,basic.4y,no,yes,no,cellular,nonexistent,40-50,1
9891,admin.,single,high.school,no,yes,no,cellular,success,30-40,1
9892,admin.,married,high.school,no,yes,no,telephone,nonexistent,40-50,1
9893,technician,single,university.degree,no,no,no,cellular,nonexistent,30-40,0
9894,blue-collar,married,high.school,no,unknown,unknown,cellular,nonexistent,20-30,1
9895,admin.,single,university.degree,no,yes,no,cellular,nonexistent,20-30,2
9896,admin.,single,university.degree,no,yes,no,cellular,failure,30-40,2
9897,services,single,high.school,no,no,no,cellular,nonexistent,30-40,0
9898,admin.,married,unknown,no,yes,no,telephone,nonexistent,50-60,2
9899,management,married,high.school,unknown,yes,no,telephone,nonexistent,20-30,1
9900,admin.,married,university.degree,no,yes,yes,telephone,nonexistent,20-30,2
9901,blue-collar,married,basic.9y,no,yes,no,cellular,failure,30-40,1
9902,technician,single,university.degree,no,yes,no,cellular,nonexistent,30-40,0
9903,admin.,married,high.school,no,yes,yes,cellular,nonexistent,40-50,1
9904,blue-collar,married,high.school,no,no,no,telephone,nonexistent,30-40,1
9905,management,married,university.degree,no,no,yes,cellular,nonexistent,30-40,2
9906,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,40-50,1
9907,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,50-60,1
9908,technician,divorced,professional.course,no,no,yes,cellular,nonexistent,30-40,0
9909,technician,married,professional.course,no,no,yes,cellular,failure,20-30,0
9910,technician,single,professional.course,no,yes,yes,telephone,nonexistent,20-30,0
9911,technician,married,university.degree,no,yes,yes,cellular,nonexistent,30-40,0
9912,blue-collar,married,basic.6y,no,no,no,telephone,nonexistent,40-50,1
9913,unemployed,married,professional.course,unknown,yes,no,cellular,nonexistent,40-50,0
9914,management,married,university.degree,no,yes,no,cellular,nonexistent,30-40,2
9915,technician,single,university.degree,no,no,no,cellular,success,20-30,0
9916,management,single,university.degree,no,yes,no,cellular,nonexistent,30-40,2
9917,admin.,single,university.degree,no,yes,no,cellular,failure,20-30,2
9918,blue-collar,married,basic.9y,no,yes,no,cellular,nonexistent,30-40,1
9919,blue-collar,married,basic.9y,no,yes,yes,cellular,nonexistent,40-50,1
9920,admin.,single,high.school,no,yes,no,cellular,failure,30-40,1
9921,entrepreneur,divorced,high.school,no,no,no,telephone,failure,20-30,1
9922,blue-collar,married,basic.4y,no,yes,no,telephone,nonexistent,30-40,1
9923,entrepreneur,married,high.school,no,no,yes,cellular,nonexistent,30-40,1
9924,blue-collar,single,university.degree,unknown,no,no,cellular,failure,30-40,2
9925,services,single,basic.9y,no,yes,no,cellular,nonexistent,20-30,0
9926,services,single,high.school,no,yes,no,cellular,nonexistent,30-40,0
9927,blue-collar,married,basic.4y,unknown,no,no,cellular,nonexistent,40-50,1
9928,admin.,married,university.degree,no,no,no,telephone,nonexistent,40-50,2
9929,housemaid,married,basic.4y,unknown,yes,no,telephone,nonexistent,50-60,1
9930,unknown,single,university.degree,no,yes,no,cellular,success,20-30,0
9931,admin.,married,university.degree,unknown,no,no,cellular,nonexistent,40-50,2
9932,admin.,divorced,university.degree,no,no,no,telephone,nonexistent,30-40,2
9933,admin.,married,professional.course,unknown,yes,yes,telephone,nonexistent,50-60,2
9934,student,married,high.school,no,yes,no,telephone,nonexistent,30-40,0
9935,admin.,married,high.school,no,yes,no,telephone,nonexistent,30-40,1
9936,entrepreneur,married,basic.4y,unknown,yes,yes,telephone,nonexistent,40-50,1
9937,technician,married,professional.course,unknown,no,no,cellular,nonexistent,40-50,0
9938,admin.,married,university.degree,no,yes,no,telephone,nonexistent,30-40,2
9939,self-employed,single,basic.4y,unknown,yes,no,telephone,nonexistent,50-60,1
9940,admin.,single,university.degree,no,yes,yes,cellular,nonexistent,30-40,2
9941,blue-collar,married,basic.4y,no,no,no,telephone,nonexistent,50-60,1
9942,unemployed,divorced,high.school,unknown,yes,yes,telephone,nonexistent,40-50,0
9943,blue-collar,divorced,basic.4y,no,yes,no,cellular,nonexistent,50-60,1
9944,blue-collar,married,basic.4y,no,yes,no,cellular,nonexistent,30-40,1
9945,admin.,single,basic.9y,no,no,no,cellular,nonexistent,30-40,1
9946,services,married,high.school,no,no,no,telephone,nonexistent,20-30,0
9947,management,divorced,university.degree,no,yes,no,cellular,nonexistent,30-40,2
9948,admin.,married,university.degree,no,no,no,telephone,nonexistent,40-50,2
9949,housemaid,married,university.degree,unknown,no,no,telephone,nonexistent,50-60,2
9950,blue-collar,married,basic.9y,unknown,no,no,telephone,nonexistent,20-30,1
9951,admin.,married,high.school,unknown,no,no,telephone,nonexistent,30-40,1
9952,admin.,divorced,high.school,no,yes,no,telephone,nonexistent,30-40,1
9953,blue-collar,divorced,basic.4y,unknown,yes,no,cellular,nonexistent,50-60,1
9954,admin.,single,university.degree,no,no,no,telephone,nonexistent,30-40,2
9955,services,married,high.school,unknown,yes,no,cellular,failure,20-30,0
9956,technician,single,professional.course,no,yes,no,cellular,failure,30-40,0
9957,technician,single,professional.course,unknown,no,no,telephone,nonexistent,50-60,0
9958,management,married,university.degree,no,no,no,cellular,nonexistent,40-50,2
9959,admin.,divorced,university.degree,no,no,no,telephone,nonexistent,40-50,2
9960,blue-collar,married,basic.9y,no,yes,no,telephone,nonexistent,30-40,1
9961,blue-collar,married,basic.4y,no,yes,yes,cellular,nonexistent,20-30,1
9962,technician,married,university.degree,no,yes,no,cellular,nonexistent,30-40,0
9963,admin.,single,university.degree,no,no,no,cellular,nonexistent,20-30,2
9964,admin.,married,university.degree,no,no,no,cellular,failure,40-50,2
9965,technician,married,university.degree,no,no,no,cellular,nonexistent,40-50,0
9966,admin.,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
9967,admin.,married,university.degree,unknown,no,no,cellular,nonexistent,30-40,2
9968,admin.,married,unknown,unknown,no,no,cellular,nonexistent,40-50,2
9969,student,married,university.degree,no,yes,no,cellular,nonexistent,20-30,0
9970,services,single,high.school,unknown,no,no,telephone,nonexistent,20-30,0
9971,management,married,basic.6y,no,yes,no,cellular,nonexistent,50-60,1
9972,retired,married,basic.4y,no,yes,no,telephone,nonexistent,60-70,1
9973,management,married,professional.course,no,yes,no,cellular,nonexistent,50-60,2
9974,housemaid,married,basic.4y,no,no,no,cellular,nonexistent,40-50,1
9975,technician,married,professional.course,no,no,no,cellular,nonexistent,50-60,0
9976,technician,married,professional.course,no,yes,no,cellular,nonexistent,30-40,0
